Year,Month,Quartile,Aircraft Arrivals And Departures,Aircraft Passengers,Total Air Cargo Tonnage,Vessel Arrivals (Number),Ship Cargo (Thousand Tonnes),MRT/LRT Ridership
2018,1,1,32486.0,5303639.0,175594.0,12642.0,53186.5,1142026.0
2018,2,1,29701.0,4932345.0,148934.0,11130.0,48984.1,1143160.0
2018,3,1,32585.0,5555117.0,187547.0,12546.0,53776.6,1144294.0
2018,4,2,31990.0,5430745.0,179411.0,12133.0,51969.9,1167601.5
2018,5,2,32332.0,5294980.0,180488.0,12225.0,53372.1,1146071.0
2018,6,2,31874.0,5565775.0,170551.0,11192.0,51768.1,1140105.0
2018,7,3,32706.0,5723094.0,183337.0,11605.0,52268.8,1222488.0
2018,8,3,32888.0,5682688.0,183756.0,11389.0,54838.2,1212155.0
2018,9,3,31395.0,5225903.0,184707.0,11367.0,50349.8,1210267.0
2018,10,4,32759.0,5376234.0,189786.0,11629.0,53547.0,1196275.5
2018,11,4,31909.0,5408993.0,189150.0,11187.0,51785.3,1182284.0
2018,12,4,33417.0,6127843.0,181618.0,11723.0,54278.8,1152919.0
2019,1,1,32729.0,5656076.0,171304.0,11678.0,51930.0,1250833.0
2019,2,1,29894.0,5131807.0,136504.0,10275.0,47962.1,1186795.0
2019,3,1,32371.0,5630780.0,184764.0,11509.0,52019.7,1217877.0
2019,4,2,31454.0,5580503.0,156480.0,11243.0,54329.1,1209637.0
2019,5,2,31671.0,5407308.0,171756.0,11697.0,55848.5,1201397.0
2019,6,2,31391.0,5816089.0,161880.0,11138.0,53341.0,1167470.0
2019,7,3,32389.0,5910782.0,170226.0,11554.0,52124.6,1273328.0
2019,8,3,32364.0,5900629.0,169032.0,11739.0,51066.4,1255049.0
2019,9,3,31179.0,5469342.0,170234.0,11547.0,49785.2,1236770.0
2019,10,4,31958.0,5646643.0,169689.0,12026.0,52557.7,1241812.0
2019,11,4,31598.0,5718386.0,177532.0,11743.0,52378.8,1213402.0
2019,12,4,33344.0,6414495.0,174697.0,12148.0,53177.9,1227323.5
2020,1,1,33435.0,5950940.0,156865.0,12134.0,51044.7,1195131.0
2020,2,1,26231.0,3446022.0,146828.0,10879.0,47761.1,1016292.0
2020,3,1,16223.0,1649662.0,149444.0,9827.0,53344.5,923319.0
2020,4,2,3865.0,25189.0,95838.0,7015.0,47611.1,288664.0
2020,5,2,4472.0,24504.0,103122.0,6582.0,44620.5,195515.0
2020,6,2,4779.0,48241.0,111665.0,6701.0,48163.7,421444.0
2020,7,3,5247.0,85981.0,118912.0,7178.0,48752.1,628983.0
2020,8,3,5562.0,84296.0,120115.0,6958.0,50448.1,685186.0
2020,9,3,5623.0,90241.0,124524.0,7255.0,49197.3,735858.0
2020,10,4,5890.0,98290.0,129083.0,7502.0,50058.5,776078.0
2020,11,4,6572.0,110737.0,140030.0,7347.0,49760.1,813174.5
2020,12,4,7525.0,151860.0,147676.0,7479.0,49976.5,850271.0
2021,1,1,7495.0,144931.0,145957.0,7641.0,51042.0,844322.0
2021,2,1,6707.0,117513.0,123914.0,6990.0,47445.2,863607.0
2021,3,1,8103.0,165638.0,157387.0,7788.0,52683.4,882892.0
2021,4,2,8166.0,173061.0,155141.0,7500.0,50261.3,897317.0
2021,5,2,8702.0,171277.0,159727.0,7211.0,51385.1,621167.0
2021,6,2,8821.0,178361.0,160959.0,7247.0,48768.8,569958.0
2021,7,3,9400.0,203701.0,163550.0,7246.0,50446.9,675404.0
2021,8,3,9294.0,211408.0,165475.0,7178.0,49773.4,685256.0
2021,9,3,9427.0,219506.0,171303.0,6918.0,48263.5,729145.0
2021,10,4,10185.0,255148.0,182035.0,7098.0,48764.4,640011.0
2021,11,4,10441.0,395289.0,177416.0,7130.0,52087.5,709651.0
2021,12,4,12151.0,817092.0,183824.0,7286.0,48127.7,819753.0
