Year,Category,Status,Amount
2016-01,Category A,Vehicle Registration,3953.0
2016-01,Category B,Vehicle Registration,3111.0
2016-01,Category D,Vehicle Registration,667.0
2016-02,Category A,Vehicle Registration,3239.0
2016-02,Category B,Vehicle Registration,2488.0
2016-02,Category D,Vehicle Registration,595.0
2016-03,Category A,Vehicle Registration,4124.0
2016-03,Category B,Vehicle Registration,2955.0
2016-03,Category D,Vehicle Registration,672.0
2016-04,Category A,Vehicle Registration,3997.0
2016-04,Category B,Vehicle Registration,3180.0
2016-04,Category D,Vehicle Registration,722.0
2016-05,Category A,Vehicle Registration,4910.0
2016-05,Category B,Vehicle Registration,3295.0
2016-05,Category D,Vehicle Registration,689.0
2016-06,Category A,Vehicle Registration,4847.0
2016-06,Category B,Vehicle Registration,3254.0
2016-06,Category D,Vehicle Registration,745.0
2016-07,Category A,Vehicle Registration,3859.0
2016-07,Category B,Vehicle Registration,3044.0
2016-07,Category D,Vehicle Registration,750.0
2016-08,Category A,Vehicle Registration,4229.0
2016-08,Category B,Vehicle Registration,2889.0
2016-08,Category D,Vehicle Registration,824.0
2016-09,Category A,Vehicle Registration,4486.0
2016-09,Category B,Vehicle Registration,3430.0
2016-09,Category D,Vehicle Registration,757.0
2016-10,Category A,Vehicle Registration,4247.0
2016-10,Category B,Vehicle Registration,3511.0
2016-10,Category D,Vehicle Registration,580.0
2016-11,Category A,Vehicle Registration,3674.0
2016-11,Category B,Vehicle Registration,3805.0
2016-11,Category D,Vehicle Registration,626.0
2016-12,Category A,Vehicle Registration,3735.0
2016-12,Category B,Vehicle Registration,3040.0
2016-12,Category D,Vehicle Registration,709.0
2017-01,Category A,Vehicle Registration,3695.0
2017-01,Category B,Vehicle Registration,3835.0
2017-01,Category D,Vehicle Registration,643.0
2017-02,Category A,Vehicle Registration,3647.0
2017-02,Category B,Vehicle Registration,2501.0
2017-02,Category D,Vehicle Registration,760.0
2017-03,Category A,Vehicle Registration,4666.0
2017-03,Category B,Vehicle Registration,3927.0
2017-03,Category D,Vehicle Registration,813.0
2017-04,Category A,Vehicle Registration,3672.0
2017-04,Category B,Vehicle Registration,3114.0
2017-04,Category D,Vehicle Registration,575.0
2017-05,Category A,Vehicle Registration,4473.0
2017-05,Category B,Vehicle Registration,3933.0
2017-05,Category D,Vehicle Registration,775.0
2017-06,Category A,Vehicle Registration,4189.0
2017-06,Category B,Vehicle Registration,4055.0
2017-06,Category D,Vehicle Registration,829.0
2017-07,Category A,Vehicle Registration,3674.0
2017-07,Category B,Vehicle Registration,3847.0
2017-07,Category D,Vehicle Registration,878.0
2017-08,Category A,Vehicle Registration,3746.0
2017-08,Category B,Vehicle Registration,3970.0
