Year,Month,Category,Fuel Type,Car Amount,Fuel Category
2018,1,Cars,Petrol,572883,Non-Hybrid
2018,1,Cars,Diesel,15572,Non-Hybrid
2018,1,Cars,Petrol-Electric,20810,Hybrid
2018,1,Cars,Petrol-Electric (Plug-In),207,Hybrid
2018,1,Cars,Petrol-CNG,972,Non-Hybrid
2018,1,Cars,CNG,0,Non-Hybrid
2018,1,Cars,Electric,335,Hybrid
2018,1,Cars,Diesel-Electric,21,Hybrid
2018,1,Taxis,Petrol,112,Non-Hybrid
2018,1,Taxis,Diesel,18625,Non-Hybrid
2018,1,Taxis,Petrol-Electric,4154,Hybrid
2018,1,Taxis,Petrol-CNG,0,Non-Hybrid
2018,1,Taxis,CNG,0,Non-Hybrid
2018,1,Motor-cycles,Petrol,140771,Non-Hybrid
2018,1,Motor-cycles,Electric,2,Hybrid
2018,1,Goods & Other Vehicles,Petrol,4961,Non-Hybrid
2018,1,Goods & Other Vehicles,Diesel,137439,Non-Hybrid
2018,1,Goods & Other Vehicles,Petrol-Electric,1,Hybrid
2018,1,Goods & Other Vehicles,Petrol-CNG,3,Non-Hybrid
2018,1,Goods & Other Vehicles,CNG,3,Non-Hybrid
2018,1,Goods & Other Vehicles,Electric,31,Hybrid
2018,1,Goods & Other Vehicles,Diesel-Electric,7,Hybrid
2018,1,Buses,Petrol,42,Non-Hybrid
2018,1,Buses,Diesel,18734,Non-Hybrid
2018,1,Buses,Petrol-CNG,1,Non-Hybrid
2018,1,Buses,CNG,12,Non-Hybrid
2018,1,Buses,Electric,2,Hybrid
2018,1,Buses,Diesel-Electric,3,Hybrid
2018,2,Cars,Petrol,573108,Non-Hybrid
2018,2,Cars,Diesel,15658,Non-Hybrid
2018,2,Cars,Petrol-Electric,21014,Hybrid
2018,2,Cars,Petrol-Electric (Plug-In),211,Hybrid
2018,2,Cars,Petrol-CNG,950,Non-Hybrid
2018,2,Cars,CNG,0,Non-Hybrid
2018,2,Cars,Electric,346,Hybrid
2018,2,Cars,Diesel-Electric,21,Hybrid
2018,2,Taxis,Petrol,110,Non-Hybrid
2018,2,Taxis,Diesel,18181,Non-Hybrid
2018,2,Taxis,Petrol-Electric,4149,Hybrid
2018,2,Taxis,Petrol-CNG,0,Non-Hybrid
2018,2,Taxis,CNG,0,Non-Hybrid
2018,2,Motor-cycles,Petrol,140259,Non-Hybrid
2018,2,Motor-cycles,Electric,3,Hybrid
2018,2,Goods & Other Vehicles,Petrol,4945,Non-Hybrid
2018,2,Goods & Other Vehicles,Diesel,137202,Non-Hybrid
2018,2,Goods & Other Vehicles,Petrol-Electric,1,Hybrid
2018,2,Goods & Other Vehicles,Petrol-CNG,3,Non-Hybrid
2018,2,Goods & Other Vehicles,CNG,3,Non-Hybrid
2018,2,Goods & Other Vehicles,Electric,31,Hybrid
2018,2,Goods & Other Vehicles,Diesel-Electric,7,Hybrid
2018,2,Buses,Petrol,42,Non-Hybrid
2018,2,Buses,Diesel,18726,Non-Hybrid
2018,2,Buses,Petrol-CNG,1,Non-Hybrid
2018,2,Buses,CNG,12,Non-Hybrid
2018,2,Buses,Electric,2,Hybrid
2018,2,Buses,Diesel-Electric,3,Hybrid
2018,3,Cars,Petrol,573351,Non-Hybrid
2018,3,Cars,Diesel,15827,Non-Hybrid
2018,3,Cars,Petrol-Electric,21267,Hybrid
2018,3,Cars,Petrol-Electric (Plug-In),222,Hybrid
2018,3,Cars,Petrol-CNG,903,Non-Hybrid
2018,3,Cars,CNG,0,Non-Hybrid
2018,3,Cars,Electric,348,Hybrid
2018,3,Cars,Diesel-Electric,21,Hybrid
2018,3,Taxis,Petrol,106,Non-Hybrid
2018,3,Taxis,Diesel,17494,Non-Hybrid
2018,3,Taxis,Petrol-Electric,4146,Hybrid
2018,3,Taxis,Petrol-CNG,0,Non-Hybrid
2018,3,Taxis,CNG,0,Non-Hybrid
2018,3,Motor-cycles,Petrol,139675,Non-Hybrid
2018,3,Motor-cycles,Electric,3,Hybrid
2018,3,Goods & Other Vehicles,Petrol,4921,Non-Hybrid
2018,3,Goods & Other Vehicles,Diesel,136857,Non-Hybrid
2018,3,Goods & Other Vehicles,Petrol-Electric,1,Hybrid
2018,3,Goods & Other Vehicles,Petrol-CNG,2,Non-Hybrid
2018,3,Goods & Other Vehicles,CNG,3,Non-Hybrid
2018,3,Goods & Other Vehicles,Electric,31,Hybrid
2018,3,Goods & Other Vehicles,Diesel-Electric,7,Hybrid
2018,3,Buses,Petrol,42,Non-Hybrid
2018,3,Buses,Diesel,18698,Non-Hybrid
2018,3,Buses,Petrol-CNG,1,Non-Hybrid
2018,3,Buses,CNG,12,Non-Hybrid
2018,3,Buses,Electric,2,Hybrid
2018,3,Buses,Diesel-Electric,3,Hybrid
2018,4,Cars,Petrol,573152,Non-Hybrid
2018,4,Cars,Diesel,16077,Non-Hybrid
2018,4,Cars,Petrol-Electric,21820,Hybrid
2018,4,Cars,Petrol-Electric (Plug-In),232,Hybrid
2018,4,Cars,Petrol-CNG,848,Non-Hybrid
2018,4,Cars,CNG,0,Non-Hybrid
2018,4,Cars,Electric,353,Hybrid
2018,4,Cars,Diesel-Electric,21,Hybrid
2018,4,Taxis,Petrol,101,Non-Hybrid
2018,4,Taxis,Diesel,17196,Non-Hybrid
2018,4,Taxis,Petrol-Electric,4139,Hybrid
2018,4,Taxis,Petrol-CNG,0,Non-Hybrid
2018,4,Taxis,CNG,0,Non-Hybrid
2018,4,Motor-cycles,Petrol,139188,Non-Hybrid
2018,4,Motor-cycles,Electric,3,Hybrid
2018,4,Goods & Other Vehicles,Petrol,4907,Non-Hybrid
2018,4,Goods & Other Vehicles,Diesel,136750,Non-Hybrid
2018,4,Goods & Other Vehicles,Petrol-Electric,1,Hybrid
2018,4,Goods & Other Vehicles,Petrol-CNG,2,Non-Hybrid
2018,4,Goods & Other Vehicles,CNG,2,Non-Hybrid
2018,4,Goods & Other Vehicles,Electric,31,Hybrid
2018,4,Goods & Other Vehicles,Diesel-Electric,7,Hybrid
2018,4,Buses,Petrol,40,Non-Hybrid
2018,4,Buses,Diesel,18686,Non-Hybrid
2018,4,Buses,Petrol-CNG,1,Non-Hybrid
2018,4,Buses,CNG,12,Non-Hybrid
2018,4,Buses,Electric,2,Hybrid
2018,4,Buses,Diesel-Electric,3,Hybrid
2018,5,Cars,Petrol,573322,Non-Hybrid
2018,5,Cars,Diesel,16237,Non-Hybrid
2018,5,Cars,Petrol-Electric,22449,Hybrid
2018,5,Cars,Petrol-Electric (Plug-In),238,Hybrid
2018,5,Cars,Petrol-CNG,762,Non-Hybrid
2018,5,Cars,CNG,0,Non-Hybrid
2018,5,Cars,Electric,354,Hybrid
2018,5,Cars,Diesel-Electric,21,Hybrid
2018,5,Taxis,Petrol,98,Non-Hybrid
2018,5,Taxis,Diesel,16999,Non-Hybrid
2018,5,Taxis,Petrol-Electric,4140,Hybrid
2018,5,Taxis,Petrol-CNG,0,Non-Hybrid
2018,5,Taxis,CNG,0,Non-Hybrid
2018,5,Motor-cycles,Petrol,138178,Non-Hybrid
2018,5,Motor-cycles,Electric,3,Hybrid
2018,5,Goods & Other Vehicles,Petrol,4895,Non-Hybrid
2018,5,Goods & Other Vehicles,Diesel,136628,Non-Hybrid
2018,5,Goods & Other Vehicles,Petrol-Electric,1,Hybrid
2018,5,Goods & Other Vehicles,Petrol-CNG,2,Non-Hybrid
2018,5,Goods & Other Vehicles,CNG,2,Non-Hybrid
2018,5,Goods & Other Vehicles,Electric,31,Hybrid
2018,5,Goods & Other Vehicles,Diesel-Electric,7,Hybrid
2018,5,Buses,Petrol,39,Non-Hybrid
2018,5,Buses,Diesel,18703,Non-Hybrid
2018,5,Buses,Petrol-CNG,1,Non-Hybrid
2018,5,Buses,CNG,12,Non-Hybrid
2018,5,Buses,Electric,2,Hybrid
2018,5,Buses,Diesel-Electric,3,Hybrid
2018,6,Cars,Petrol,575441,Non-Hybrid
2018,6,Cars,Diesel,16555,Non-Hybrid
2018,6,Cars,Petrol-Electric,23941,Hybrid
2018,6,Cars,Petrol-Electric (Plug-In),270,Hybrid
2018,6,Cars,Petrol-CNG,671,Non-Hybrid
2018,6,Cars,CNG,0,Non-Hybrid
2018,6,Cars,Electric,358,Hybrid
2018,6,Cars,Diesel-Electric,21,Hybrid
2018,6,Taxis,Petrol,95,Non-Hybrid
2018,6,Taxis,Diesel,16910,Non-Hybrid
2018,6,Taxis,Petrol-Electric,4159,Hybrid
2018,6,Taxis,Petrol-CNG,0,Non-Hybrid
2018,6,Taxis,CNG,0,Non-Hybrid
2018,6,Motor-cycles,Petrol,137441,Non-Hybrid
2018,6,Motor-cycles,Electric,3,Hybrid
2018,6,Goods & Other Vehicles,Petrol,4892,Non-Hybrid
2018,6,Goods & Other Vehicles,Diesel,136644,Non-Hybrid
2018,6,Goods & Other Vehicles,Petrol-Electric,1,Hybrid
2018,6,Goods & Other Vehicles,Petrol-CNG,2,Non-Hybrid
2018,6,Goods & Other Vehicles,CNG,2,Non-Hybrid
2018,6,Goods & Other Vehicles,Electric,31,Hybrid
2018,6,Goods & Other Vehicles,Diesel-Electric,7,Hybrid
2018,6,Buses,Petrol,38,Non-Hybrid
2018,6,Buses,Diesel,18728,Non-Hybrid
2018,6,Buses,Petrol-CNG,1,Non-Hybrid
2018,6,Buses,CNG,12,Non-Hybrid
2018,6,Buses,Electric,3,Hybrid
2018,6,Buses,Diesel-Electric,3,Hybrid
2018,7,Cars,Petrol,573064,Non-Hybrid
2018,7,Cars,Diesel,16843,Non-Hybrid
2018,7,Cars,Petrol-Electric,24229,Hybrid
2018,7,Cars,Petrol-Electric (Plug-In),284,Hybrid
2018,7,Cars,Petrol-CNG,590,Non-Hybrid
2018,7,Cars,CNG,0,Non-Hybrid
2018,7,Cars,Electric,363,Hybrid
2018,7,Cars,Diesel-Electric,21,Hybrid
2018,7,Taxis,Petrol,88,Non-Hybrid
2018,7,Taxis,Diesel,16802,Non-Hybrid
2018,7,Taxis,Petrol-Electric,4284,Hybrid
2018,7,Taxis,Petrol-CNG,0,Non-Hybrid
2018,7,Taxis,CNG,0,Non-Hybrid
2018,7,Taxis,Electric,2,Hybrid
2018,7,Motor-cycles,Petrol,137001,Non-Hybrid
2018,7,Motor-cycles,Electric,3,Hybrid
2018,7,Goods & Other Vehicles,Petrol,4877,Non-Hybrid
2018,7,Goods & Other Vehicles,Diesel,136450,Non-Hybrid
2018,7,Goods & Other Vehicles,Petrol-Electric,1,Hybrid
2018,7,Goods & Other Vehicles,Petrol-CNG,2,Non-Hybrid
2018,7,Goods & Other Vehicles,CNG,2,Non-Hybrid
2018,7,Goods & Other Vehicles,Electric,31,Hybrid
2018,7,Goods & Other Vehicles,Diesel-Electric,7,Hybrid
2018,7,Buses,Petrol,34,Non-Hybrid
2018,7,Buses,Diesel,18758,Non-Hybrid
2018,7,Buses,Petrol-CNG,1,Non-Hybrid
2018,7,Buses,CNG,12,Non-Hybrid
2018,7,Buses,Electric,4,Hybrid
2018,7,Buses,Diesel-Electric,3,Hybrid
2018,8,Cars,Petrol,571787,Non-Hybrid
2018,8,Cars,Diesel,16920,Non-Hybrid
2018,8,Cars,Petrol-Electric,24624,Hybrid
2018,8,Cars,Petrol-Electric (Plug-In),297,Hybrid
2018,8,Cars,Petrol-CNG,521,Non-Hybrid
2018,8,Cars,CNG,0,Non-Hybrid
2018,8,Cars,Electric,406,Hybrid
2018,8,Cars,Diesel-Electric,21,Hybrid
2018,8,Taxis,Petrol,82,Non-Hybrid
2018,8,Taxis,Diesel,16716,Non-Hybrid
2018,8,Taxis,Petrol-Electric,4471,Hybrid
2018,8,Taxis,Petrol-CNG,0,Non-Hybrid
2018,8,Taxis,CNG,0,Non-Hybrid
2018,8,Taxis,Electric,97,Hybrid
2018,8,Motor-cycles,Petrol,136652,Non-Hybrid
2018,8,Motor-cycles,Electric,2,Hybrid
2018,8,Goods & Other Vehicles,Petrol,4866,Non-Hybrid
2018,8,Goods & Other Vehicles,Diesel,136336,Non-Hybrid
2018,8,Goods & Other Vehicles,Petrol-Electric,1,Hybrid
2018,8,Goods & Other Vehicles,Petrol-CNG,2,Non-Hybrid
2018,8,Goods & Other Vehicles,CNG,2,Non-Hybrid
2018,8,Goods & Other Vehicles,Electric,38,Hybrid
2018,8,Goods & Other Vehicles,Diesel-Electric,7,Hybrid
2018,8,Buses,Petrol,34,Non-Hybrid
2018,8,Buses,Diesel,18790,Non-Hybrid
2018,8,Buses,Petrol-CNG,0,Non-Hybrid
2018,8,Buses,CNG,12,Non-Hybrid
2018,8,Buses,Electric,4,Hybrid
2018,8,Buses,Diesel-Electric,3,Hybrid
2018,9,Cars,Petrol,570828,Non-Hybrid
2018,9,Cars,Diesel,17019,Non-Hybrid
2018,9,Cars,Petrol-Electric,25183,Hybrid
2018,9,Cars,Petrol-Electric (Plug-In),323,Hybrid
2018,9,Cars,Petrol-CNG,475,Non-Hybrid
2018,9,Cars,CNG,0,Non-Hybrid
2018,9,Cars,Electric,443,Hybrid
2018,9,Cars,Diesel-Electric,21,Hybrid
2018,9,Taxis,Petrol,69,Non-Hybrid
2018,9,Taxis,Diesel,16531,Non-Hybrid
2018,9,Taxis,Petrol-Electric,4582,Hybrid
2018,9,Taxis,Petrol-CNG,0,Non-Hybrid
2018,9,Taxis,CNG,0,Non-Hybrid
2018,9,Taxis,Electric,97,Hybrid
2018,9,Motor-cycles,Petrol,136586,Non-Hybrid
2018,9,Motor-cycles,Electric,2,Hybrid
2018,9,Goods & Other Vehicles,Petrol,4841,Non-Hybrid
2018,9,Goods & Other Vehicles,Diesel,136401,Non-Hybrid
2018,9,Goods & Other Vehicles,Petrol-Electric,1,Hybrid
2018,9,Goods & Other Vehicles,Petrol-CNG,2,Non-Hybrid
2018,9,Goods & Other Vehicles,CNG,2,Non-Hybrid
2018,9,Goods & Other Vehicles,Electric,38,Hybrid
2018,9,Goods & Other Vehicles,Diesel-Electric,7,Hybrid
2018,9,Buses,Petrol,34,Non-Hybrid
2018,9,Buses,Diesel,18805,Non-Hybrid
2018,9,Buses,Petrol-CNG,0,Non-Hybrid
2018,9,Buses,CNG,12,Non-Hybrid
2018,9,Buses,Electric,4,Hybrid
2018,9,Buses,Diesel-Electric,3,Hybrid
2018,10,Cars,Petrol,570486,Non-Hybrid
2018,10,Cars,Diesel,17061,Non-Hybrid
2018,10,Cars,Petrol-Electric,25943,Hybrid
2018,10,Cars,Petrol-Electric (Plug-In),336,Hybrid
2018,10,Cars,Petrol-CNG,431,Non-Hybrid
2018,10,Cars,CNG,0,Non-Hybrid
2018,10,Cars,Electric,462,Hybrid
2018,10,Cars,Diesel-Electric,21,Hybrid
2018,10,Taxis,Petrol,65,Non-Hybrid
2018,10,Taxis,Diesel,16162,Non-Hybrid
2018,10,Taxis,Petrol-Electric,4744,Hybrid
2018,10,Taxis,Petrol-CNG,0,Non-Hybrid
2018,10,Taxis,CNG,0,Non-Hybrid
2018,10,Taxis,Electric,102,Hybrid
2018,10,Motor-cycles,Petrol,136377,Non-Hybrid
2018,10,Motor-cycles,Electric,2,Hybrid
2018,10,Goods & Other Vehicles,Petrol,4838,Non-Hybrid
2018,10,Goods & Other Vehicles,Diesel,136474,Non-Hybrid
2018,10,Goods & Other Vehicles,Petrol-Electric,1,Hybrid
2018,10,Goods & Other Vehicles,Petrol-CNG,2,Non-Hybrid
2018,10,Goods & Other Vehicles,CNG,1,Non-Hybrid
2018,10,Goods & Other Vehicles,Electric,39,Hybrid
2018,10,Goods & Other Vehicles,Diesel-Electric,7,Hybrid
2018,10,Buses,Petrol,34,Non-Hybrid
2018,10,Buses,Diesel,18819,Non-Hybrid
2018,10,Buses,Petrol-CNG,0,Non-Hybrid
